File = D:\moldex3D\Ray_project_0802\Report\XYPlot\保壓-壓力-60-0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 4 : Pp:60 MPa_Pt:0.7 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.324537,0.0656236,1.49311,0.0146899,1.1528,0.305402,0.893835,0.0349811,1.69391,0.129163,1.69391,0.14545,1.69391,0.10715,1.49311,0.00102843,1.3342,0.017222,1.3342,0.049207,1.3342,0.020016,1.23294,0.876047,1.23294,1.05125,1.23294,0.847361,1.1528,0.240744,1.08655,0.630766,1.08655,0.715194,1.08655,0.609553,1.02168,0.0143452,1.02168,0.00733339,1.04041,0.322123,0.893835,0.00225099,0.794709,0,0.764649,0.000611802,0.794709,0,0.731212,0.130994,0.340995,0.426747,0.0162608,1.8381
0.340995,0.426984,1.50887,0.0664154,1.16879,1.83784,0.912613,0.282595,1.72372,0.300015,1.72372,0.286401,1.72372,0.293445,1.50887,0.025418,1.35084,0.161535,1.35084,0.23436,1.35084,0.146161,1.24963,2.43903,1.24963,2.55449,1.24963,2.40812,1.16879,1.83246,1.10491,2.51817,1.10491,2.57397,1.10491,2.50155,1.04041,0.336854,1.04041,0.394939,1.05741,0.68847,0.912613,0.281742,0.814276,0.323753,0.780468,0.334121,0.814276,0.32466,0.746072,0.441641,0.357505,0.771331,0.0332608,7.24433
0.357505,0.777699,1.5243,0.196917,1.18479,3.53068,0.926764,0.545664,1.73086,21.4213,1.73086,21.5719,1.73086,21.4319,1.5243,0.19928,1.3669,0.286193,1.3669,0.364242,1.3669,0.269842,1.26748,3.11584,1.26748,3.18267,1.26748,3.09513,1.18479,3.52466,1.12084,4.29983,1.12084,4.35088,1.12084,4.28278,1.05741,0.716002,1.05741,0.841699,1.07106,2.32551,0.926764,0.545368,0.828381,0.671259,0.794709,0.562562,0.828381,0.67013,0.764649,0.816339,0.373996,1.11026,0.0488787,10.1721
0.373996,1.11725,1.54733,0.380908,1.2008,5.45166,0.940965,0.812141,1.73908,33.678,1.73908,33.7148,1.73908,33.6683,1.54733,0.383478,1.38273,0.410498,1.38273,0.490604,1.38273,0.391272,1.28096,3.47085,1.28096,3.5362,1.28096,3.45038,1.2008,5.44508,1.1368,6.27785,1.1368,6.32318,1.1368,6.26196,1.07106,2.3488,1.07106,2.39755,1.08655,4.04912,0.940965,0.811857,0.847066,1.08179,0.814276,0.900547,0.847066,1.07386,0.780468,1.1094,0.390515,1.45238,0.0651422,11.0508
0.390515,1.45941,1.5626,0.499634,1.21684,7.59286,0.959894,1.18925,1.74853,44.1781,1.74853,44.188,1.74853,44.16,1.5626,0.502263,1.39842,0.540399,1.39842,0.623995,1.39842,0.51674,1.29793,3.97387,1.29793,4.04483,1.29793,3.94814,1.21684,7.58578,1.1528,8.47209,1.1528,8.51203,1.1528,8.45589,1.08655,4.06748,1.08655,4.09117,1.10491,6.21532,0.959894,1.189,0.861093,1.38461,0.828381,1.17104,0.861093,1.37269,0.794709,1.34757,0.406964,1.79566,0.0818945,11.9235
0.406964,1.80244,1.57851,0.612689,1.23294,9.9481,0.974131,1.48057,1.75939,52.6836,1.75939,52.6914,1.75939,52.6694,1.57851,0.615295,1.41391,0.669661,1.41391,0.758006,1.41391,0.642747,1.31797,4.56943,1.31797,4.66988,1.31797,4.53699,1.23294,9.94064,1.16879,10.8576,1.16879,10.8928,1.16879,10.8384,1.10491,6.23023,1.10491,6.24566,1.12084,8.27817,0.974131,1.48033,0.879865,1.79443,0.847066,1.53768,0.879865,1.78621,0.814276,1.73718,0.423394,2.13938,0.0976782,12.6662
0.423394,2.14596,1.59474,0.741738,1.24963,12.4981,0.993129,1.8859,1.77189,58.1238,1.77189,58.1353,1.77189,58.1123,1.59474,0.744413,1.4293,0.795046,1.4293,0.889071,1.4293,0.765786,1.3342,5.01296,1.3342,5.11766,1.3342,4.98054,1.24963,12.4904,1.18479,13.4023,1.18479,13.4327,1.18479,13.3817,1.12084,8.29305,1.12084,8.30537,1.1368,10.5247,0.993129,1.88571,0.893835,2.10677,0.861093,1.82496,0.893835,2.09601,0.828381,2.03974,0.439864,2.46398,0.114228,13.2534
0.439864,2.47019,1.6108,0.883685,1.26748,14.2724,1.00741,2.20176,1.78626,61.0041,1.78626,61.0161,1.78626,60.996,1.6108,0.886414,1.44466,0.90196,1.44466,1.00304,1.44466,0.872219,1.35084,5.41641,1.35084,5.53148,1.35084,5.38864,1.26748,14.2644,1.2008,16.0943,1.2008,16.1203,1.2008,16.0731,1.1368,10.5389,1.1368,10.5486,1.1528,12.9637,1.00741,2.20159,0.912613,2.5293,0.879865,2.22712,0.912613,2.51737,0.847066,2.43924,0.454222,2.76757,0.130939,13.7012
0.454222,2.77347,1.62634,1.04018,1.28096,15.357,1.02168,2.52684,1.80279,62.2044,1.80279,62.2144,1.80279,62.199,1.62634,1.04296,1.46079,1.00451,1.46079,1.1092,1.46079,0.973356,1.3669,5.75209,1.3669,5.87857,1.3669,5.72172,1.28096,15.3488,1.21684,18.9245,1.21684,18.9455,1.21684,18.9025,1.1528,12.9775,1.1528,12.9839,1.16879,15.5589,1.02168,2.52668,0.926764,2.86144,0.893835,2.53729,0.926764,2.84875,0.861093,2.74796,0.470879,3.06535,0.147891,14.0646
0.470879,3.07097,1.69391,1.6691,1.29793,16.7965,1.04041,2.97455,1.82179,62.4741,1.82179,62.4831,1.82179,62.4707,1.69391,1.67209,1.47712,1.16658,1.47712,1.28143,1.47712,1.13202,1.38273,6.05031,1.38273,6.18919,1.38273,6.01699,1.29793,16.788,1.23294,21.8973,1.23294,21.9121,1.23294,21.8752,1.16879,15.573,1.16879,15.5753,1.18479,18.2839,1.04041,2.9744,0.940965,3.19945,0.912613,2.95932,0.940965,3.18617,0.879865,3.17626,0.487266,3.2068,0.164849,14.2787
0.487266,3.2122,1.72372,1.63282,1.31797,18.3097,1.05741,3.45142,1.84365,62.3011,1.84365,62.3094,1.84365,62.2996,1.72372,1.63545,1.49311,1.29252,1.49311,1.41376,1.49311,1.25506,1.39842,6.32535,1.39842,6.47756,1.39842,6.28884,1.31797,18.301,1.24963,25.0633,1.24963,25.0698,1.24963,25.0419,1.18479,18.2978,1.18479,18.2957,1.2008,21.1315,1.05741,3.45123,0.959894,3.66594,0.926764,3.29308,0.959894,3.65102,0.893835,3.50428,0.504903,3.63662,0.178636,14.3994
0.504903,3.64164,1.73086,19.1433,1.3342,19.3716,1.07106,5.07869,1.86878,61.8279,1.86878,61.8362,1.86878,61.8275,1.73086,19.1338,1.50887,1.44144,1.50887,1.5729,1.50887,1.40152,1.41391,6.57498,1.41391,6.73991,1.41391,6.53539,1.3342,19.3627,1.26748,27.6082,1.26748,27.6058,1.26748,27.589,1.2008,21.1451,1.2008,21.1382,1.21684,24.0955,1.07106,5.07848,0.974131,4.025,0.940965,3.63402,0.974131,4.0094,0.912613,3.94653,0.51965,3.82291,0.195724,14.5635
0.51965,3.8277,1.73908,33.517,1.35084,20.3069,1.08655,6.82937,1.89769,61.1266,1.89769,61.1353,1.89769,61.1269,1.73908,33.5101,1.5243,1.58646,1.5243,1.72742,1.5243,1.54361,1.4293,6.79806,1.4293,6.97602,1.4293,6.75594,1.35084,20.298,1.28096,29.1282,1.28096,29.1179,1.28096,29.1106,1.21684,24.1085,1.21684,24.0966,1.23294,27.186,1.08655,6.82917,0.993129,4.51928,0.959894,4.10504,0.993129,4.50293,0.926764,4.29497,0.535636,4.13342,0.212545,14.7728
0.535636,4.13794,1.74853,44.4026,1.3669,21.0779,1.10491,9.05631,1.93093,60.2342,1.93093,60.2437,1.93093,60.2344,1.74853,44.396,1.54733,1.80707,1.54733,1.96332,1.54733,1.75969,1.44466,6.98398,1.44466,7.17396,1.44466,6.94057,1.3669,21.0689,1.29793,31.0963,1.29793,31.071,1.29793,31.0814,1.23294,27.1984,1.23294,27.1807,1.24963,30.4781,1.10491,9.05611,1.00741,4.90051,0.974131,4.46838,1.00741,4.88392,0.940965,4.6504,0.551466,4.44623,0.2288,15.2451
0.551466,4.45051,1.75939,52.8934,1.38273,21.7305,1.12084,11.2001,1.96915,59.1852,1.96915,59.195,1.96915,59.1854,1.75939,52.888,1.5626,1.94909,1.5626,2.1147,1.5626,1.89983,1.46079,7.14939,1.46079,7.35038,1.46079,7.10484,1.38273,21.7215,1.31797,33.1432,1.31797,33.1012,1.31797,33.1304,1.24963,30.4894,1.24963,30.4654,1.26748,33.2289,1.12084,11.1999,1.02168,5.28955,0.993129,4.96881,1.02168,5.27263,0.959894,5.1387,0.569443,4.80321,0.243446,15.8443
