File = D:\moldex3D\Ray_project_0802_2\Ray_project_0802\Ray_project_0802\Report\XYPlot\保壓-壓力36.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 12 : Pp:100 MPa_Pt:0.7 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.340995,0.426747,1.1528,0.305402,1.1528,0.305402,0.893835,0.0349811,1.69391,0.129163,1.69391,0.14545,1.69391,0.10715,1.49311,0.00102843,1.3342,0.017222,1.3342,0.049207,1.3342,0.020016,1.23294,0.876047,1.23294,1.05125,1.23294,0.847361,1.1528,0.240744,1.08655,0.630766,1.08655,0.715194,1.08655,0.609553,1.02168,0.0143452,1.02168,0.00733339,1.04041,0.322123,0.893835,0.00225099,0.794709,0,0.764649,0.000611802,0.794709,0,0.731212,0.130994,0.340995,0.426747,0.0162608,1.8381
0.357505,0.771331,1.16879,1.83784,1.16879,1.83784,0.912613,0.282595,1.72375,0.357872,1.72375,0.3396,1.72375,0.348398,1.50887,0.025418,1.35084,0.161535,1.35084,0.23436,1.35084,0.146161,1.24963,2.43903,1.24963,2.55449,1.24963,2.40812,1.16879,1.83246,1.10491,2.51817,1.10491,2.57397,1.10491,2.50155,1.04041,0.336854,1.04041,0.394939,1.05741,0.68847,0.912613,0.281742,0.814276,0.323753,0.780468,0.334121,0.814276,0.32466,0.746072,0.441641,0.357505,0.771331,0.0332608,7.24433
0.373996,1.11026,1.18479,3.53068,1.18479,3.53068,0.926764,0.545664,1.73089,23.1464,1.73089,23.3118,1.73089,23.1636,1.5243,0.19928,1.3669,0.286193,1.3669,0.364242,1.3669,0.269842,1.26748,3.11584,1.26748,3.18267,1.26748,3.09513,1.18479,3.52466,1.12084,4.29983,1.12084,4.35088,1.12084,4.28278,1.05741,0.716002,1.05741,0.841699,1.07106,2.32551,0.926764,0.545368,0.828381,0.671259,0.794709,0.562562,0.828381,0.67013,0.764649,0.816339,0.373996,1.11026,0.0488787,10.1721
0.390515,1.45238,1.2008,5.45166,1.2008,5.45166,0.940965,0.812141,1.73911,37.0647,1.73911,37.0831,1.73911,37.0556,1.54733,0.383478,1.38273,0.410498,1.38273,0.490604,1.38273,0.391272,1.28096,3.47085,1.28096,3.5362,1.28096,3.45038,1.2008,5.44508,1.1368,6.27785,1.1368,6.32318,1.1368,6.26196,1.07106,2.3488,1.07106,2.39755,1.08655,4.04912,0.940965,0.811857,0.847066,1.08179,0.814276,0.900547,0.847066,1.07386,0.780468,1.1094,0.390515,1.45238,0.0651422,11.0508
0.406964,1.79566,1.21684,7.59286,1.21684,7.59286,0.959894,1.18925,1.74856,49.4064,1.74856,49.4362,1.74856,49.3902,1.5626,0.502263,1.39842,0.540399,1.39842,0.623995,1.39842,0.51674,1.29793,3.97387,1.29793,4.04483,1.29793,3.94814,1.21684,7.58578,1.1528,8.47209,1.1528,8.51203,1.1528,8.45589,1.08655,4.06748,1.08655,4.09117,1.10491,6.21532,0.959894,1.189,0.861093,1.38461,0.828381,1.17104,0.861093,1.37269,0.794709,1.34757,0.406964,1.79566,0.0818945,11.9235
0.423394,2.13938,1.23294,9.9481,1.23294,9.9481,0.974131,1.48057,1.75942,60.3371,1.75942,60.3634,1.75942,60.3246,1.57851,0.615295,1.41391,0.669661,1.41391,0.758006,1.41391,0.642747,1.31797,4.56943,1.31797,4.66988,1.31797,4.53699,1.23294,9.94064,1.16879,10.8576,1.16879,10.8928,1.16879,10.8384,1.10491,6.23023,1.10491,6.24566,1.12084,8.27817,0.974131,1.48033,0.879865,1.79443,0.847066,1.53768,0.879865,1.78621,0.814276,1.73718,0.423394,2.13938,0.0976782,12.6662
0.439864,2.46398,1.24963,12.4981,1.24963,12.4981,0.993129,1.8859,1.77192,69.5014,1.77192,69.5225,1.77192,69.4911,1.59474,0.744413,1.4293,0.795046,1.4293,0.889071,1.4293,0.765786,1.3342,5.01296,1.3342,5.11766,1.3342,4.98054,1.24963,12.4904,1.18479,13.4023,1.18479,13.4327,1.18479,13.3817,1.12084,8.29305,1.12084,8.30537,1.1368,10.5247,0.993129,1.88571,0.893835,2.10677,0.861093,1.82496,0.893835,2.09601,0.828381,2.03974,0.439864,2.46398,0.114228,13.2534
0.454222,2.76757,1.26748,14.2724,1.26748,14.2724,1.00741,2.20176,1.78629,75.6735,1.78629,75.6907,1.78629,75.6638,1.6108,0.886414,1.44466,0.90196,1.44466,1.00304,1.44466,0.872219,1.35084,5.41641,1.35084,5.53148,1.35084,5.38864,1.26748,14.2644,1.2008,16.0943,1.2008,16.1203,1.2008,16.0731,1.1368,10.5389,1.1368,10.5486,1.1528,12.9637,1.00741,2.20159,0.912613,2.5293,0.879865,2.22712,0.912613,2.51737,0.847066,2.43924,0.454222,2.76757,0.130939,13.7012
0.470879,3.06535,1.28096,15.357,1.28096,15.357,1.02168,2.52684,1.80281,79.1276,1.80281,79.1408,1.80281,79.1204,1.62634,1.04296,1.46079,1.00451,1.46079,1.1092,1.46079,0.973356,1.3669,5.75209,1.3669,5.87857,1.3669,5.72172,1.28096,15.3488,1.21684,18.9245,1.21684,18.9455,1.21684,18.9025,1.1528,12.9775,1.1528,12.9839,1.16879,15.5589,1.02168,2.52668,0.926764,2.86144,0.893835,2.53729,0.926764,2.84875,0.861093,2.74796,0.470879,3.06535,0.147891,14.0646
0.487266,3.2068,1.29793,16.7965,1.29793,16.7965,1.04041,2.97455,1.82182,80.7407,1.82182,80.7513,1.82182,80.7356,1.69391,1.67209,1.47712,1.16658,1.47712,1.28143,1.47712,1.13202,1.38273,6.05031,1.38273,6.18919,1.38273,6.01699,1.29793,16.788,1.23294,21.8973,1.23294,21.9121,1.23294,21.8752,1.16879,15.573,1.16879,15.5753,1.18479,18.2839,1.04041,2.9744,0.940965,3.19945,0.912613,2.95932,0.940965,3.18617,0.879865,3.17626,0.487266,3.2068,0.164849,14.2787
0.504903,3.63662,1.31797,18.3097,1.31797,18.3097,1.05741,3.45142,1.84368,81.2925,1.84368,81.3019,1.84368,81.2889,1.72375,1.95089,1.49311,1.29252,1.49311,1.41376,1.49311,1.25506,1.39842,6.32535,1.39842,6.47756,1.39842,6.28884,1.31797,18.301,1.24963,25.0633,1.24963,25.0698,1.24963,25.0419,1.18479,18.2978,1.18479,18.2957,1.2008,21.1315,1.05741,3.45123,0.959894,3.66594,0.926764,3.29308,0.959894,3.65102,0.893835,3.50428,0.504903,3.63662,0.178636,14.3994
0.51965,3.82291,1.3342,19.3716,1.3342,19.3716,1.07106,5.07869,1.86881,81.2382,1.86881,81.2473,1.86881,81.2358,1.73089,21.1904,1.50887,1.44144,1.50887,1.5729,1.50887,1.40152,1.41391,6.57498,1.41391,6.73991,1.41391,6.53539,1.3342,19.3627,1.26748,27.6082,1.26748,27.6058,1.26748,27.589,1.2008,21.1451,1.2008,21.1382,1.21684,24.0955,1.07106,5.07848,0.974131,4.025,0.940965,3.63402,0.974131,4.0094,0.912613,3.94653,0.51965,3.82291,0.195724,14.5635
0.535636,4.13342,1.35084,20.3069,1.35084,20.3069,1.08655,6.82937,1.89771,80.8491,1.89771,80.8577,1.89771,80.8478,1.73911,37.3255,1.5243,1.58646,1.5243,1.72742,1.5243,1.54361,1.4293,6.79806,1.4293,6.97602,1.4293,6.75594,1.35084,20.298,1.28096,29.1282,1.28096,29.1179,1.28096,29.1106,1.21684,24.1085,1.21684,24.0966,1.23294,27.186,1.08655,6.82917,0.993129,4.51928,0.959894,4.10504,0.993129,4.50293,0.926764,4.29497,0.535636,4.13342,0.212545,14.7728
0.551466,4.44623,1.3669,21.0779,1.3669,21.0779,1.10491,9.05631,1.93095,80.1835,1.93095,80.192,1.93095,80.1829,1.74856,49.8873,1.54733,1.80707,1.54733,1.96332,1.54733,1.75969,1.44466,6.98398,1.44466,7.17396,1.44466,6.94057,1.3669,21.0689,1.29793,31.0963,1.29793,31.071,1.29793,31.0814,1.23294,27.1984,1.23294,27.1807,1.24963,30.4781,1.10491,9.05611,1.00741,4.90051,0.974131,4.46838,1.00741,4.88392,0.940965,4.6504,0.551466,4.44623,0.2288,15.2451
0.569443,4.80321,1.38273,21.7305,1.38273,21.7305,1.12084,11.2001,1.96918,79.2945,1.96918,79.3033,1.96918,79.2941,1.75942,60.6431,1.5626,1.94909,1.5626,2.1147,1.5626,1.89983,1.46079,7.14939,1.46079,7.35038,1.46079,7.10484,1.38273,21.7215,1.31797,33.1432,1.31797,33.1012,1.31797,33.1304,1.24963,30.4894,1.24963,30.4654,1.26748,33.2289,1.12084,11.1999,1.02168,5.28955,0.993129,4.96881,1.02168,5.27263,0.959894,5.1387,0.569443,4.80321,0.243446,15.8443
0.585432,5.13067,1.39842,22.2911,1.39842,22.2911,1.1368,13.5318,2.01314,78.2331,2.01314,78.2421,2.01314,78.2329,1.77192,69.7466,1.57851,2.07498,1.57851,2.24785,1.57851,2.02473,1.47712,7.36151,1.47712,7.57756,1.47712,7.3137,1.39842,22.2821,1.3342,34.5095,1.3342,34.4529,1.3342,34.4992,1.26748,33.239,1.26748,33.2098,1.28096,34.8497,1.1368,13.5316,1.04041,5.81864,1.00741,5.35508,1.04041,5.80152,0.974131,5.51447,0.585432,5.13067,0.260177,16.3551
0.601442,5.47108,1.41391,22.7709,1.41391,22.7709,1.1528,16.0562,2.06369,76.9991,2.06369,77.0083,2.06369,76.9991,1.78629,75.9394,1.59474,2.22119,1.59474,2.4036,1.59474,2.16894,1.49311,7.52828,1.49311,7.75526,1.49311,7.47837,1.41391,22.7618,1.35084,35.6708,1.35084,35.5964,1.35084,35.6647,1.28096,34.8585,1.28096,34.8248,1.29793,36.9357,1.1528,16.056,1.05741,6.35178,1.02168,5.74915,1.05741,6.33384,0.993129,6.03033,0.601442,5.47108,0.276766,16.7157
0.617432,5.80743,1.4293,23.1795,1.4293,23.1795,1.16879,18.7308,2.1193,75.6623,2.1193,75.6714,2.1193,75.6623,1.80281,79.3384,1.6108,2.3825,1.6108,2.57633,1.6108,2.32766,1.50887,7.70834,1.50887,7.94887,1.50887,7.65553,1.4293,23.1704,1.3669,36.6242,1.3669,36.5317,1.3669,36.6217,1.29793,36.9426,1.29793,36.9004,1.31797,39.1179,1.16879,18.7307,1.07106,7.97672,1.04041,6.28496,1.07106,7.95832,1.00741,6.42754,0.617432,5.80743,0.293513,16.9639
0.634369,6.1096,1.44466,23.5208,1.44466,23.5208,1.18479,21.5303,2.18047,74.2464,2.18047,74.2553,2.18047,74.2463,1.82182,80.9045,1.62634,2.55952,1.62634,2.76747,1.62634,2.50191,1.5243,7.87844,1.5243,8.13177,1.5243,7.82285,1.44466,23.5116,1.38273,37.4177,1.38273,37.3063,1.38273,37.4191,1.31797,39.123,1.31797,39.0714,1.3342,40.5522,1.18479,21.5302,1.08655,9.7504,1.05741,6.82302,1.08655,9.73281,1.02168,6.83192,0.634369,6.1096,0.310108,17.19
0.648739,6.25119,1.46079,23.8107,1.46079,23.8107,1.2008,24.4489,2.24776,72.7489,2.24776,72.7572,2.24776,72.7489,1.84368,81.4221,1.69391,3.25585,1.69391,3.51577,1.69391,3.18941,1.54733,8.12699,1.54733,8.39927,1.54733,8.06701,1.46079,23.8015,1.39842,38.0872,1.39842,37.9559,1.39842,38.0926,1.3342,40.5555,1.3342,40.4951,1.35084,41.7676,1.2008,24.4488,1.10491,12.0181,1.07106,8.44473,1.10491,12.0014,1.04041,7.38038,0.648739,6.25119,0.324537,17.418
0.667095,6.48715,1.47712,24.0921,1.47712,24.0921,1.21684,27.48,2.32178,71.1673,2.32178,71.1752,2.32178,71.1673,1.86881,81.3411,1.72375,3.58582,1.72375,3.86324,1.72375,3.51715,1.5626,8.28211,1.5626,8.56623,1.5626,8.21982,1.47712,24.083,1.41391,38.6535,1.41391,38.5015,1.41391,38.6627,1.35084,41.7683,1.35084,41.6977,1.3669,42.7671,1.21684,27.48,1.12084,14.2191,1.08655,10.219,1.12084,14.2028,1.05741,7.92538,0.667095,6.48715,0.340995,17.7358
0.682736,6.68375,1.49311,24.3244,1.49311,24.3244,1.23294,30.6364,2.4032,69.5038,2.4032,69.5109,2.4032,69.5036,1.89771,80.911,1.73089,20.9044,1.73089,21.0608,1.73089,20.8762,1.57851,8.41614,1.57851,8.70948,1.57851,8.35277,1.49311,24.3152,1.4293,39.132,1.4293,38.9587,1.4293,39.1454,1.3669,42.7654,1.3669,42.6848,1.38273,43.5979,1.23294,30.6364,1.1368,16.6127,1.10491,12.4898,1.1368,16.5967,1.07106,9.53109,0.682736,6.68375,0.357505,18.111
0.698144,7.86524,1.50887,24.5419,1.50887,24.5419,1.24963,34.0081,2.4032,69.5038,2.4032,69.5109,2.4032,69.5036,1.93095,80.2267,1.73911,37.8431,1.73911,38.0092,1.73911,37.8015,1.59474,8.56526,1.59474,8.86896,1.59474,8.49999,1.50887,24.5327,1.44466,39.5337,1.44466,39.3396,1.44466,39.5509,1.38273,43.5938,1.38273,43.5025,1.39842,44.2986,1.24963,34.0081,1.1528,19.1982,1.12084,14.6963,1.1528,19.1824,1.08655,11.3005,0.698144,7.86524,0.373996,18.5177
0.715118,7.32795,1.5243,24.7413,1.5243,24.7413,1.26748,36.9158,2.4142,69.279,2.4142,69.2872,2.4142,69.2797,1.96918,79.3321,1.74856,50.4631,1.74856,50.6136,1.74856,50.4233,1.6108,8.7256,1.6108,9.04132,1.6108,8.65785,1.5243,24.7321,1.46079,39.8762,1.46079,39.6587,1.46079,39.8975,1.39842,44.2919,1.39842,44.1893,1.41391,44.8916,1.26748,36.916,1.16879,21.9283,1.1368,17.0961,1.16879,21.9128,1.10491,13.5731,0.715118,7.32795,0.390515,18.9321
0.731212,7.9883,1.54733,25.015,1.54733,25.015,1.28096,38.6251,2.42685,69.0246,2.42685,69.0327,2.42685,69.0246,2.01314,78.2633,1.75942,60.9943,1.75942,61.1017,1.75942,60.9663,1.62634,8.89948,1.62634,9.22905,1.62634,8.82874,1.54733,25.0057,1.47712,40.1755,1.47712,39.9307,1.47712,40.2024,1.41391,44.8823,1.41391,44.7683,1.4293,45.394,1.28096,38.6253,1.18479,24.7784,1.1528,19.6878,1.18479,24.763,1.12084,15.7898,0.731212,7.9883,0.406964,19.3335
